iter	Passed	Remaining
417	2546	3546
418	2552	3539
419	2559	3534
420	2565	3528
421	2571	3522
422	2578	3516
423	2584	3510
424	2590	3505
425	2597	3499
426	2602	3492
427	2608	3485
428	2614	3480
429	2621	3475
430	2628	3470
431	2634	3463
432	2640	3458
433	2647	3452
434	2653	3445
435	2659	3439
436	2665	3433
437	2670	3426
438	2676	3420
439	2683	3414
440	2689	3409
441	2695	3402
442	2701	3396
443	2707	3390
444	2713	3384
445	2719	3378
446	2726	3373
447	2733	3367
448	2739	3361
449	2745	3355
450	2751	3349
451	2758	3344
452	2764	3338
453	2770	3332
454	2777	3326
455	2783	3320
456	2789	3314
457	2795	3308
458	2801	3302
459	2808	3296
460	2813	3289
461	2819	3283
462	2825	3277
463	2831	3271
464	2838	3265
465	2844	3259
466	2850	3253
467	2856	3247
468	2862	3240
469	2868	3234
470	2874	3228
471	2880	3222
472	2886	3216
473	2893	3210
474	2898	3203
475	2904	3197
476	2910	3191
477	2916	3184
478	2922	3179
479	2928	3172
480	2935	3166
481	2941	3161
482	2947	3155
483	2953	3149
484	2959	3143
485	2966	3137
486	2973	3132
487	2979	3125
488	2985	3119
489	2991	3113
490	2997	3107
491	3003	3101
492	3009	3094
493	3015	3089
494	3021	3082
495	3027	3076
496	3033	3069
497	3039	3063
498	3045	3057
499	3051	3051
500	3056	3044
501	3060	3036
502	3066	3030
503	3073	3024
504	3079	3018
505	3083	3010
506	3089	3004
507	3095	2998
508	3102	2992
509	3108	2986
510	3114	2980
511	3120	2974
512	3127	2968
513	3133	2962
514	3139	2956
515	3145	2950
516	3152	2944
517	3158	2939
518	3164	2933
519	3171	2927
520	3178	2921
521	3184	2915
522	3190	2909
523	3196	2903
524	3203	2897
525	3209	2892
526	3216	2886
527	3221	2880
528	3228	2874
529	3234	2868
530	3241	2862
531	3246	2856
532	3253	2850
533	3259	2844
534	3265	2837
535	3271	2831
536	3277	2826
537	3284	2820
538	3290	2814
539	3296	2808
540	3302	2802
541	3309	2796
542	3314	2789
543	3321	2784
544	3328	2778
545	3334	2772
546	3340	2766
547	3346	2759
548	3352	2754
549	3357	2746
550	3363	2740
551	3369	2734
552	3376	2728
553	3382	2722
554	3388	2716
555	3395	2711
556	3401	2704
557	3407	2699
558	3413	2693
559	3419	2687
560	3426	2680
561	3432	2675
562	3438	2668
563	3444	2663
564	3449	2656
565	3456	2650
566	3462	2644
567	3467	2637
568	3473	2631
569	3480	2625
570	3486	2619
571	3492	2613
572	3499	2607
573	3504	2601
574	3511	2595
575	3517	2589
576	3524	2583
577	3530	2577
578	3535	2570
579	3542	2565
580	3548	2559
581	3554	2552
582	3560	2546
583	3567	2540
584	3573	2534
585	3578	2528
586	3585	2522
587	3591	2516
588	3597	2510
589	3602	2503
590	3609	2498
591	3616	2492
592	3622	2486
593	3628	2479
594	3634	2474
595	3641	2468
596	3647	2462
597	3654	2456
598	3660	2450
599	3666	2444
600	3672	2438
601	3678	2431
602	3684	2425
603	3690	2419
604	3697	2413
605	3703	2408
606	3710	2402
607	3716	2396
608	3721	2389
609	3728	2383
610	3733	2377
611	3740	2371
612	3746	2365
613	3752	2359
614	3758	2352
615	3764	2346
616	3771	2341
617	3777	2334
618	3783	2328
619	3789	2322
620	3795	2316
621	3801	2310
622	3807	2304
623	3814	2298
624	3820	2292
625	3826	2286
626	3832	2280
627	3839	2274
628	3845	2268
629	3851	2262
630	3858	2256
631	3863	2249
632	3869	2243
633	3876	2237
634	3880	2230
635	3887	2224
636	3893	2218
637	3899	2212
638	3906	2206
639	3911	2200
640	3916	2193
641	3922	2187
642	3928	2181
643	3935	2175
644	3941	2169
645	3947	2163
646	3954	2157
647	3960	2151
648	3966	2145
649	3972	2139
650	3978	2132
651	3984	2126
652	3990	2120
653	3996	2114
654	4002	2108
655	4008	2102
656	4015	2096
657	4020	2089
658	4026	2083
659	4033	2077
660	4039	2071
661	4045	2065
662	4051	2059
663	4057	2053
664	4063	2047
665	4069	2041
666	4076	2035
667	4082	2029
668	4088	2022
669	4094	2016
670	4101	2010
671	4107	2004
672	4113	1998
673	4119	1992
674	4125	1986
675	4131	1979
676	4137	1974
677	4143	1967
678	4148	1961
679	4154	1955
680	4160	1949
681	4167	1943
682	4173	1937
683	4180	1931
684	4187	1925
685	4193	1919
686	4199	1913
687	4205	1907
688	4211	1901
689	4218	1895
690	4224	1889
691	4231	1883
692	4237	1877
693	4243	1871
694	4250	1865
695	4256	1859
696	4262	1853
697	4269	1847
698	4275	1841
699	4281	1834
700	4287	1828
701	4294	1822
702	4300	1816
703	4307	1810
704	4313	1804
705	4319	1798
706	4325	1792
707	4331	1786
708	4337	1780
709	4343	1774
710	4349	1768
711	4355	1761
712	4362	1756
713	4368	1749
714	4375	1744
